scheduler,ef_kbps,ef_p99_ms,af_kbps,af_p99_ms,be_kbps,be_p99_ms,bk_kbps,bk_p99_ms
pq,298.8,504.3,4672.9,662.2,285.6,1014.8,0.0,0.0
rr,242.5,659.2,1605.7,967.8,1926.8,985.2,1580.3,984.8
wrr,256.7,511.8,2318.5,888.8,1996.7,989.8,760.3,1457.7
wirr,303.6,511.2,2224.6,888.8,1873.5,991.2,896.1,1456.2
scfq,269.4,505.2,2261.7,856.2,1891.3,992.8,901.2,1483.2
wfq,255.7,504.8,2485.5,849.3,1655.2,1856.8,933.0,1698.8
wf2qp,250.3,504.8,2305.4,851.8,1888.8,992.8,892.3,1485.3
llq,248.7,504.8,2498.6,846.2,1678.1,1898.2,908.8,1643.8
