scheduler,ef_kbps,ef_p99_ms,af_kbps,af_p99_ms,be_kbps,be_p99_ms,bk_kbps,bk_p99_ms
pq,148.1,501.2,376.6,502.8,2868.7,502.8,2069.0,502.8
rr,148.1,501.2,376.6,502.8,2868.7,502.8,2069.0,502.8
wrr,148.1,501.2,376.6,502.8,2868.7,502.8,2069.0,502.8
wirr,203.2,502.8,671.3,503.2,2471.4,503.8,2070.3,504.8
scfq,148.1,501.2,376.6,502.8,2868.7,502.8,2069.0,502.8
wfq,148.1,501.2,376.6,502.8,2868.7,502.8,2069.0,502.8
wf2qp,148.1,501.2,376.6,502.8,2868.7,502.8,2069.0,502.8
llq,148.1,501.2,376.6,502.8,2868.7,502.8,2069.0,502.8
