scheduler,ef_kbps,ef_p99_ms,af_kbps,af_p99_ms,be_kbps,be_p99_ms,bk_kbps,bk_p99_ms
pq,156.9,501.2,390.8,502.8,2797.6,502.8,2071.6,502.8
rr,156.9,501.2,390.8,502.8,2797.6,502.8,2071.6,502.8
wrr,156.9,501.2,390.8,502.8,2797.6,502.8,2071.6,502.8
wirr,202.4,502.3,640.7,503.2,2484.1,503.8,2050.0,504.8
scfq,156.9,501.2,390.8,502.8,2797.6,502.8,2071.6,502.8
wfq,156.9,501.2,390.8,502.8,2797.6,502.8,2071.6,502.8
wf2qp,156.9,501.2,390.8,502.8,2797.6,502.8,2071.6,502.8
llq,156.9,501.2,390.8,502.8,2797.6,502.8,2071.6,502.8
