scheduler,ef_kbps,ef_p99_ms,af_kbps,af_p99_ms,be_kbps,be_p99_ms,bk_kbps,bk_p99_ms
high-load,27.2,712.8,545.8,715.8,3381.5,715.8,1584.1,715.8
low-load,156.9,501.2,390.8,502.8,2797.6,502.8,2071.6,502.8
